Time,Extension,Load,Tensile stress,Tensile strain,Strain 1,Displacement (Strain 1)
(sec),(mm),(N),(MPa),(mm/mm),(mm/mm),(mm)
0.00000,0.06894,306.78303,14.47800,0.00002,0.00002,0.00081
0.05000,0.07516,401.75244,18.95989,0.00003,0.00003,0.00162
0.10000,0.07701,442.64384,20.88967,0.00004,0.00004,0.00213
0.15000,0.07731,449.93847,21.23393,0.00004,0.00004,0.00210
0.20000,0.07731,448.96705,21.18809,0.00004,0.00004,0.00214
0.25000,0.07731,448.98824,21.18909,0.00005,0.00005,0.00240
0.30000,0.07731,449.19602,21.19889,0.00004,0.00004,0.00213
0.35000,0.07731,447.95251,21.14021,0.00004,0.00004,0.00225
0.40000,0.07737,447.51973,21.11978,0.00005,0.00005,0.00226
0.45000,0.07755,448.47000,21.16463,0.00004,0.00004,0.00202
0.50000,0.07797,450.94909,21.28162,0.00004,0.00004,0.00224
0.55000,0.07874,458.69970,21.64740,0.00005,0.00005,0.00226
0.60000,0.07958,469.38690,22.15176,0.00005,0.00005,0.00235
0.65000,0.08048,479.51778,22.62987,0.00005,0.00005,0.00243
0.70000,0.08125,489.54249,23.10296,0.00005,0.00005,0.00237
0.75000,0.08203,497.75094,23.49034,0.00005,0.00005,0.00266
0.80000,0.08287,508.40951,23.99335,0.00006,0.00006,0.00283
0.85000,0.08371,517.35220,24.41538,0.00006,0.00006,0.00301
0.90000,0.08448,527.34162,24.88681,0.00006,0.00006,0.00298
0.95000,0.08532,537.20241,25.35217,0.00006,0.00006,0.00299
1.00000,0.08628,547.67677,25.84649,0.00006,0.00006,0.00302
1.05000,0.08717,558.35494,26.35042,0.00007,0.00007,0.00338
1.10000,0.08801,569.78068,26.88964,0.00007,0.00007,0.00341
1.15000,0.08885,578.82648,27.31654,0.00007,0.00007,0.00331
1.20000,0.08974,588.96090,27.79481,0.00007,0.00007,0.00359
1.25000,0.09058,600.04089,28.31771,0.00008,0.00008,0.00375
1.30000,0.09142,610.12087,28.79341,0.00008,0.00008,0.00385
1.35000,0.09220,619.27489,29.22542,0.00008,0.00008,0.00402
1.40000,0.09303,629.12079,29.69007,0.00008,0.00008,0.00395
1.45000,0.09387,639.13525,30.16269,0.00008,0.00008,0.00396
1.50000,0.09465,648.18696,30.58986,0.00008,0.00008,0.00417
1.55000,0.09542,658.57936,31.08031,0.00008,0.00008,0.00424
1.60000,0.09632,669.02116,31.57309,0.00008,0.00008,0.00408
