Time,Extension,Load,Tensile stress,Tensile strain,Strain 1,Displacement (Strain 1)
(sec),(mm),(N),(MPa),(mm/mm),(mm/mm),(mm)
0.00000,0.06607,307.06138,14.49114,0.00007,0.00007,0.00330
0.05000,0.07229,405.78400,19.15015,0.00012,0.00012,0.00614
0.10000,0.07426,451.37685,21.30181,0.00009,0.00009,0.00466
0.15000,0.07456,459.90790,21.70442,0.00012,0.00012,0.00608
0.20000,0.07456,460.01417,21.70943,0.00008,0.00008,0.00400
0.25000,0.07456,459.83307,21.70089,0.00012,0.00012,0.00606
0.30000,0.07456,458.99646,21.66140,0.00009,0.00009,0.00459
0.35000,0.07456,459.19092,21.67058,0.00011,0.00011,0.00552
0.40000,0.07462,459.51353,21.68580,0.00008,0.00008,0.00391
0.45000,0.07480,459.55745,21.68788,0.00013,0.00013,0.00634
0.50000,0.07527,461.36193,21.77304,0.00009,0.00009,0.00467
0.55000,0.07593,470.89383,22.22288,0.00011,0.00011,0.00573
0.60000,0.07671,481.29759,22.71386,0.00009,0.00009,0.00435
0.65000,0.07749,490.75736,23.16029,0.00013,0.00013,0.00638
0.70000,0.07838,501.83930,23.68328,0.00010,0.00010,0.00516
0.75000,0.07928,512.22388,24.17336,0.00012,0.00012,0.00584
0.80000,0.08024,525.52111,24.80090,0.00010,0.00010,0.00509
0.85000,0.08107,537.22714,25.35334,0.00013,0.00013,0.00656
0.90000,0.08191,547.11187,25.81983,0.00012,0.00012,0.00576
0.95000,0.08281,559.43341,26.40132,0.00012,0.00012,0.00616
1.00000,0.08371,571.22409,26.95776,0.00013,0.00013,0.00633
1.05000,0.08448,581.77998,27.45592,0.00013,0.00013,0.00670
1.10000,0.08532,592.26211,27.95060,0.00013,0.00013,0.00630
1.15000,0.08616,603.44171,28.47820,0.00013,0.00013,0.00669
1.20000,0.08699,614.26768,28.98911,0.00014,0.00014,0.00700
1.25000,0.08777,625.97999,29.54185,0.00014,0.00014,0.00678
1.30000,0.08855,634.03007,29.92176,0.00013,0.00013,0.00661
1.35000,0.08939,646.17675,30.49500,0.00014,0.00014,0.00705
1.40000,0.09028,657.71500,31.03952,0.00015,0.00015,0.00761
1.45000,0.09118,669.98200,31.61843,0.00015,0.00015,0.00726
1.50000,0.09202,680.54725,32.11704,0.00015,0.00015,0.00747
1.55000,0.09285,692.23372,32.66856,0.00015,0.00015,0.00767
1.60000,0.09375,704.21807,33.23414,0.00016,0.00016,0.00783
1.65000,0.09459,715.52508,33.76775,0.00016,0.00016,0.00780
1.70000,0.09536,726.43296,34.28252,0.00016,0.00016,0.00778
1.75000,0.09614,736.54465,34.75972,0.00016,0.00016,0.00816
1.80000,0.09692,748.69446,35.33311,0.00016,0.00016,0.00802
1.85000,0.09776,759.78506,35.85651,0.00017,0.00017,0.00826
1.90000,0.09853,771.01989,36.38671,0.00017,0.00017,0.00837
1.95000,0.09931,780.42946,36.83078,0.00017,0.00017,0.00853
2.00000,0.10021,792.12412,37.38268,0.00018,0.00018,0.00884
2.05000,0.10104,806.02504,38.03871,0.00017,0.00017,0.00857
2.10000,0.10194,815.87611,38.50361,0.00018,0.00018,0.00879
2.15000,0.10278,827.83811,39.06813,0.00018,0.00018,0.00910
2.20000,0.10367,841.45991,39.71099,0.00018,0.00018,0.00892
2.25000,0.10451,853.83514,40.29501,0.00018,0.00018,0.00912
2.30000,0.10535,865.38717,40.84018,0.00019,0.00019,0.00963
2.35000,0.10619,876.14842,41.34804,0.00020,0.00020,0.00975
2.40000,0.10702,888.43815,41.92803,0.00019,0.00019,0.00964
2.45000,0.10786,900.61622,42.50275,0.00019,0.00019,0.00965
2.50000,0.10864,911.54883,43.01869,0.00020,0.00020,0.01016
2.55000,0.10941,921.39980,43.48359,0.00020,0.00020,0.00984
2.60000,0.11025,934.08870,44.08241,0.00020,0.00020,0.01015
2.65000,0.11115,947.38705,44.71000,0.00021,0.00021,0.01037
2.70000,0.11199,957.46154,45.18545,0.00021,0.00021,0.01036
2.75000,0.11288,969.78461,45.76701,0.00021,0.00021,0.01058
2.80000,0.11372,982.71100,46.37704,0.00021,0.00021,0.01037
2.85000,0.11462,994.74043,46.94475,0.00022,0.00022,0.01087
2.90000,0.11539,1006.29674,47.49012,0.00022,0.00022,0.01121
2.95000,0.11617,1016.17519,47.95632,0.00022,0.00022,0.01077
3.00000,0.11701,1028.42655,48.53450,0.00021,0.00021,0.01073
3.05000,0.11779,1039.87344,49.07471,0.00023,0.00023,0.01148
3.10000,0.11862,1051.66649,49.63126,0.00023,0.00023,0.01157
3.15000,0.11940,1063.89672,50.20844,0.00023,0.00023,0.01140
3.20000,0.12018,1074.08874,50.68943,0.00022,0.00022,0.01114
3.25000,0.12107,1086.80148,51.28938,0.00024,0.00024,0.01177
3.30000,0.12197,1099.26611,51.87762,0.00024,0.00024,0.01184
3.35000,0.12275,1110.73181,52.41872,0.00024,0.00024,0.01189
3.40000,0.12358,1124.57322,53.07194,0.00025,0.00025,0.01233
3.45000,0.12442,1134.99854,53.56394,0.00025,0.00025,0.01238
3.50000,0.12532,1149.10016,54.22944,0.00025,0.00025,0.01268
3.55000,0.12622,1161.14067,54.79767,0.00025,0.00025,0.01244
3.60000,0.12705,1172.92274,55.35370,0.00026,0.00026,0.01287
3.65000,0.12789,1185.00749,55.92402,0.00026,0.00026,0.01296
3.70000,0.12867,1195.10666,56.40062,0.00026,0.00026,0.01295
3.75000,0.12944,1206.31596,56.92962,0.00025,0.00025,0.01275
3.80000,0.13016,1218.76840,57.51729,0.00026,0.00026,0.01315
3.85000,0.13100,1228.85192,57.99316,0.00027,0.00027,0.01330
3.90000,0.13196,1242.76970,58.64998,0.00027,0.00027,0.01340
3.95000,0.13279,1255.34367,59.24339,0.00027,0.00027,0.01352
4.00000,0.13369,1267.78986,59.83076,0.00028,0.00028,0.01382
4.05000,0.13459,1280.61939,60.43622,0.00027,0.00027,0.01361
4.10000,0.13548,1293.23099,61.03140,0.00027,0.00027,0.01366
4.15000,0.13626,1304.87317,61.58083,0.00028,0.00028,0.01415
4.20000,0.13710,1317.33892,62.16913,0.00029,0.00029,0.01427
4.25000,0.13787,1330.26261,62.77903,0.00029,0.00029,0.01433
4.30000,0.13871,1340.03051,63.24001,0.00028,0.00028,0.01404
4.35000,0.13943,1351.58990,63.78553,0.00029,0.00029,0.01449
4.40000,0.14021,1362.69815,64.30976,0.00030,0.00030,0.01489
